ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
12987714390,Flo Cycle & Period Tracker,App Store,1,Won’t let me access what I paid for.,"It won’t let me switch back to “get pregnant” mode without buying a $80 a new year premium membership, despite the fact that I already have a premium  membership (that only cost me $15). So now I’m stuck on a mode I don’t want to be on, not able to accesses a part of the app I already paid for.",Megan676j,07.08.2025,us,9.84.1,0
12987680279,Flo Cycle & Period Tracker,App Store,4,After years of using,"I adore Flo and have only used this app to track everything for the past 4-5 years. The only thing about this new update I don’t like is that the predictions for symptoms (for the next day) are gone. The “what to expect” slides are gone and I really, really don’t like that change. I like the graphs of estrogen and progesterone that came with the slides. Please bring this back. It’s a major flaw to have it removed. That’s unfortunate.",savagecat69,07.08.2025,us,9.84.1,0
12985965184,Flo Cycle & Period Tracker,App Store,1,App not working,I am not able to see my partners period days or ovulation or intimate days,Spxankz,07.08.2025,us,9.84.1,0
12985458665,Flo Cycle & Period Tracker,App Store,1,NOT FREE,why make this a “free” app and I spend all this time answering questions just to pay $60 a year?!? Not worth it.,Rachgymdawg789,07.08.2025,us,9.84.1,0
12985441073,Flo Cycle & Period Tracker,App Store,5,5 stars,"5/5 app caught my pregnancy, very accurate.",Chiiscute,07.08.2025,us,9.84.1,0
12985078827,Flo Cycle & Period Tracker,App Store,5,This app literally couldn’t be better,"It’s personal, organized, tells you everything. Honestly wonderful",Meghello,07.08.2025,us,9.84.1,0
12984731750,Flo Cycle & Period Tracker,App Store,1,Can’t use until age 13,"Birth year only goes to 2011, when on average periods start at age 12.",K E S T,07.08.2025,us,9.84.1,0
12984517523,Flo Cycle & Period Tracker,App Store,1,Meta used Flo data,So much for privacy. There’s a lawsuit going on between Flo and Meta. I want none of that since the U.S. is turning into Gilead. Best of luck my betches!,Vivalacorygirl,07.08.2025,us,9.84.0,0
12983762791,Flo Cycle & Period Tracker,App Store,3,It said it was free..:,"tracks my period pretty well but it has a bunch of stuff that i can’t access without paying for it, that’s dumb. if i can’t access it don’t show it!!",guess.what.its.em,06.08.2025,us,9.84.0,0
12983737146,Flo Cycle & Period Tracker,App Store,1,Треш,Начали сливать данные+почти все с премиум и про премиум лид бы купили его,Ппооорр,06.08.2025,us,9.84.0,0
12983722685,Flo Cycle & Period Tracker,App Store,2,Premium,I love this app but instead of having people pay to see everything important you should allow them to see it for free especially for the people trying to conceive and for the people who are pregnant😞. A lot of us can’t afford the premium just to see what’s important to us!,makyla_finley,06.08.2025,us,9.84.0,0
12983682010,Flo Cycle & Period Tracker,App Store,5,Thank you Flo!!,"The best app ever. Great advice, fantastic tracking. Flo helped me through my journey to get pregnant and my pregnancy as well! Could not have done this without this app.",Sari71983,06.08.2025,us,9.84.0,0
12983629894,Flo Cycle & Period Tracker,App Store,3,.,Is it true that you sell our private information?,Mademoiselle.AYA,06.08.2025,us,9.84.0,0
