ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
063a0e1c-b0dc-4b66-9e4e-ec85b0081e84,Flo Period & Pregnancy Tracker,Google Play,5,,"j'aime beaucoup, ça m'a aidé",Djelika Coulibali,08.08.2025,fr,9.83.0,0
a3ff805a-b8a5-47ca-ac07-16e37fed43cb,Flo Period & Pregnancy Tracker,Google Play,5,,"I do enjoy the app, sending me insights and symptoms to expect, especially when I was pregnant!",Ellen LeBleu,08.08.2025,us,9.84.0,0
370fa309-7c7e-42b2-b77a-f03cc0f1e69f,Flo Period & Pregnancy Tracker,Google Play,5,,it's very helpful,Wardah Riaz,08.08.2025,us,9.83.0,0
384f54df-0bb2-4558-ad76-10e333435593,Flo Period & Pregnancy Tracker,Google Play,5,,very good 👍🏻 👏🏻 👌🏻 😀 ☺️ 🙌 👍🏻,pramod tirkey,08.08.2025,us,9.83.0,0
33e84e3b-e177-4e31-8ba3-d27826098211,Flo Period & Pregnancy Tracker,Google Play,1,,"edit: this app steals and sells your data. in this political climate, you should beware i understand professionals gotta get paid but dang the ads suggesting i subscribe are incessant 😩",Arnelle,08.08.2025,us,9.83.0,0
0bace364-1437-4ed7-a651-26ded049959d,Flo Period & Pregnancy Tracker,Google Play,3,,l application est Bein dans l ensemble je suis pas encore réglé mais c est quand même bien mais si ont veux des conseils faut payer j ai pas trop envie de mettre mon argent dedans mais sinon c est bien,Emilie Thenot clausse,08.08.2025,fr,9.83.0,0
39559fc1-acff-4fe2-b245-3a58273470d1,Flo Period & Pregnancy Tracker,Google Play,5,,very precise,Najwaira nanda Iswara,08.08.2025,us,9.83.0,0
1b874cc7-e5b0-495c-92d3-e48988700fa4,Flo Period & Pregnancy Tracker,Google Play,5,,accurate tracker when given info,Danielle Wilkinson,08.08.2025,us,9.83.0,0
0be8a2f4-5995-48d1-a26c-0e8fb9c642ca,Flo Period & Pregnancy Tracker,Google Play,1,,"nul, payant pour tout",Thomas Lubiato,08.08.2025,fr,9.83.0,0
5ffcbd4b-020b-4afd-8391-f1488a56802d,Flo Period & Pregnancy Tracker,Google Play,5,,très bien 😊😊😊,Amandine Tohanlou,08.08.2025,fr,9.83.0,0
9d1eaebe-51d9-45d6-9865-6a7f2bc7453f,Flo Period & Pregnancy Tracker,Google Play,5,,its really good,Yashika Chavariya,08.08.2025,us,9.83.0,0
410e420a-7989-4acc-8c6e-64b9169711da,Flo Period & Pregnancy Tracker,Google Play,5,,This app is really helpful.,Geraldine Sarea,08.08.2025,us,9.83.0,0
dd732420-ee26-4d31-a1e3-335a3c030989,Flo Period & Pregnancy Tracker,Google Play,5,,good,dega gamal,08.08.2025,us,9.83.0,0
b2f53cce-1fc3-43b3-872a-cae41645566e,Flo Period & Pregnancy Tracker,Google Play,3,,only problem is almost everything is now not free,Josephine Asare,08.08.2025,us,9.83.0,0
d93b6fb1-d2d4-4beb-8057-b731a2d9f348,Flo Period & Pregnancy Tracker,Google Play,1,,"horrível, descontou um valor que pq eu teoricamente usava o premium e nunca soube, tentei conseguir o reembolso e o site nao ajuda em nada",jay,08.08.2025,us,9.83.0,0
57231663-ef99-4979-b019-08a6ceb134b7,Flo Period & Pregnancy Tracker,Google Play,5,,nice 👍aap,Bharti Khadiya,08.08.2025,us,9.83.0,0
ef588508-81bd-4b79-a94d-7792abccc429,Flo Period & Pregnancy Tracker,Google Play,5,,прекрасное приложение 👍 советую 👍,Минхо,08.08.2025,ru,,0
debff98c-cd3c-4815-be25-f56aef01e12a,Flo Period & Pregnancy Tracker,Google Play,3,,"пользуюсь уже три года и все было замечательно,но сегодня зашла в приложение посмотреть когда начало цикла и увидела неприятную ситуацию,на экране отображает что данные не прогрузились якобы из за отсутствия интернета,при попытке заново авторизоваться выбивает ошибку и авторизация вообще не проходит ни каким образом,очень расстроилась ведь другие приложения мне не нравятся и искать замену не хочу. В поддержку написать не получается 😔 разработчики разберитесь с этой ситуацией пожалуйста",А̶х̶у̶е̶в̶ш̶а̶я̶ ̶б̶о̶г̶и̶н̶я̶ ̶н̶е̶ ̶в̶а̶ш̶и̶х̶ ̶с̶е̶р̶д̶е̶ц̶,08.08.2025,ru,9.77.0,0
4c803b45-db9b-4d29-811b-b8fd39686be6,Flo Period & Pregnancy Tracker,Google Play,5,,I love this App. so accurate and educative. been using flo for years now. I enjoy it.,ruth caster,08.08.2025,us,9.83.0,0
91b0f970-80eb-4423-88f6-3d494d4c3526,Flo Period & Pregnancy Tracker,Google Play,5,,c'est une bonne application,Mariam Aïcha Towil Sanoh,08.08.2025,fr,9.83.0,0
0726d226-64c1-49f8-8216-66b4070107e6,Flo Period & Pregnancy Tracker,Google Play,4,,great app,ONANUGA BLESSING,08.08.2025,us,9.83.0,0
a0f1a47e-2fe4-4ad1-9690-fb0cb541acaf,Flo Period & Pregnancy Tracker,Google Play,4,,Перешла на новый телефон. Это танец с бубнами какой-то. Войти не могу пишет not found. Аккаунт веду больше 4 лет. Помогите войти,Милана Баженова,08.08.2025,ru,9.83.0,0
