ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
aa28fc79-8d88-4de7-af85-3739f7dd4408,Human Health Tracker,Google Play,5,,update: very quick response and it is fixed! Thank you! I love this app for tracking my health for discussions with my doctor! It is becoming less and less convenient. The app used to auto enter the time of the symptom when I logged it. Then there was an update that made me select to log the current time. Now I have to scroll the numbers to add the logged time. I need to show frequency and timing for my symptoms. Please go back to the auto for the time.,Anna Parker,04.08.2025,us,6.0.19,0
05da0759-79ee-4aad-a3c1-16ffc8165f68,Human Health Tracker,Google Play,3,,I can see that it will be very useful. Unfortunately my complex conditions are making it difficult to set up in the first instance,Samantha R,27.07.2025,us,5.24.2,0
3d2e8382-1dcb-44b1-83b9-f54d45ed831e,Human Health Tracker,Google Play,5,,the app is great I use it to remind me of all my meds and other things I need to do to stay healthy. the developers respond quickly and kindly to any requests for other things that you can track on the app. I would recommend this app to anyone who struggles with keeping track of meds and other daily tasks,Pixi Librarian,26.07.2025,us,5.24.2,0
d1a177a0-1781-4cb8-a77c-101c3ab17097,Human Health Tracker,Google Play,5,,"This is a wonderful and concept. But for my own safety I've had to delete it. I live in the US and recently they begun targeting anyone with mental health issues or Disability issues. If the world ever goes back to normal and I survive all this I'll download it again. If you read this, stay safe and stay informed. I am terrified. I want peace.",Jasper “Jas” Heartly,26.07.2025,us,,0
34e3c884-082d-473f-9e41-c8f5538453c7,Human Health Tracker,Google Play,5,,This app has been so helpful in gathering information about my symptoms to show to all of my doctors and specialists. It has made working toward diagnoses and effective treatment go much faster than it would have otherwise.,Lindsay Osterhoff,21.07.2025,us,5.24.2,0
43cdb661-30bb-43b3-abfc-e759e8bb2719,Human Health Tracker,Google Play,2,,"This app is extremely frustrating to try to use. There is a large lack of instructions when you're starting out. It can be confusing figuring out how you're meant to log system, I still cant figure out how I'm meant to set up treatments, or delete the ones I didn't mean to put on a specific day, and I'm not seeing where it shows how your habits and treatments may be affecting your symptoms. Just opening this app overwhelms me",Aliyah Wilken,06.07.2025,us,5.21.3,0
6f108057-34aa-469c-b9f4-5ae210fa61d3,Human Health Tracker,Google Play,5,,"extremely helpful. wide variety of symptoms, both psychological and physical! super easy to use, too.",Krystina Prindle,30.06.2025,us,5.20.4,0
0f8ba016-7f24-471e-99cb-84aba4c55333,Human Health Tracker,Google Play,5,,"Makes it so easy to track my symptoms, physical and mental, and my medication schedule. I love this app. I've been tracking everything to show my doctors and make it easier to figure out what's going on at my visits!",Iris Nova Gray,29.06.2025,us,5.20.4,0
da4684a2-ab8e-4ffe-b415-5f0b144fd2aa,Human Health Tracker,Google Play,5,,"I love it! It's user-friendly, keeps all my info organized & makes it easy to share things. I got it to help me track ongoing symptoms to share with my provider while looking for a more accurate diagnosis and it's perfect. Plus, I reached out to the developers about adding a couple of symptoms that I wanted to track but wasn't able to find, and they got back to me promptly—those symptoms are now available in the app! 😍 That level of responsiveness really impressed me. Highly recommend it!",Amanda Finnie,17.06.2025,us,5.18.5,0
8dd43339-8340-41d5-bd69-ac97307e0bf2,Human Health Tracker,Google Play,2,,"It's a great app if you're trying to track symptoms, but there are limitations that don't really work for me. The medication tracking feels like an after-thought. Reminders don't show up until you open the app. You can't track symptoms in real-time. You get one chance to remember your symptoms through the day and record them. Need to add something? You'll have to redo your entire record for the day. Currently I can't log in. As soon as I can, I'm deleting my account and the app.",Arik Lothaire,12.06.2025,us,5.18.5,0
7a83dd37-87bc-4311-bfa0-83b30657c80e,Human Health Tracker,Google Play,1,,"After creating a new account, the app requires an email verification prior to login. Each link sent gives this error. Try verifying your email again Your request to verify your email has expired or the link has already been used This is an entry level issue using the app. I hope the developers fix it quickly.",Deborah Marocco,12.06.2025,us,5.18.5,0
4afefd18-0820-42c3-b7a7-052af0c26d0b,Human Health Tracker,Google Play,4,,"They didn't have my eye disease in their database but they quickly added it after I sent an email so I could add it to my diagnosis record. The symptom tracking is the best I've seen so far in an app, and the UI is beautiful and colorful! Will be telling my doctors about this app. 🌈",Hazel,09.06.2025,us,5.17.0,0
278531a2-0ab6-4b35-8ded-3dae6b2a174a,Human Health Tracker,Google Play,3,,I just got this today. We'll see how I feel in the future,Sarah O'Kane (Scara),01.06.2025,us,5.16.0,0
4a899548-1e37-4c57-8fbd-859c4a475c79,Human Health Tracker,Google Play,3,,this does cost money. currently 40 USD for a year. no free trial that I see.,Cristopher Molver,30.05.2025,us,,0
3f33bd7f-d7f8-4d7e-b6ec-1623357f215f,Human Health Tracker,Google Play,1,,I spent a whole hour inputting all of my symptoms and when I was done I realized only about half of them saved and I was so frustrated I gave up and today I decided to try again and literally everything I put in was gone! All that time gone and wasted!! I'm so mad!!,Vanessa Lynn,24.05.2025,us,5.15.4,0
6715e5a7-3d86-4716-a2f9-c7b6af3ccada,Human Health Tracker,Google Play,1,,incredibly expensive for a glorified excel spreadsheet and app page does not clearly indicate any costs initially. any developer who does this-- ESPECIALLY in the health sector--deserves 1 star reviews. shame on you for this,GeneralAdmissions K,18.05.2025,us,,0
25331d09-28cd-4987-8db9-c06e3262c659,Human Health Tracker,Google Play,4,,"Excellent app, but PLEASE get rid of the limit on symptoms :(( I experience way more than 100 different symptoms and I maxed out pretty quickly adding them and I was nowhere near done. Just a suggestion. I'm sure I'm not the only one, although I do understand this level of chronic illness is probably not super common. Otherwise this is my favourite symptom tracker I've used so far. The layout and everything is great and easy to use.",Silas,18.05.2025,us,5.14.8,0
e7c37955-4c8b-4407-a986-4c57391c7ecd,Human Health Tracker,Google Play,2,,"Your app is actually GREAT, & the only one that has all the right features for someone chronically ill disabled. But I've been getting charges on my account titled ""Kate Jansen."" When you try things that cost the same & they charge at the same time, it's hard to tell what's what. Plus brain fog. So I told my bank it was a fraudulent charge. Now I have to wait on a new card. I only just realized it's your app bc the Google play email receipt. You REALLY need to have charges titled ""Human App.""💯",Laura Harrison,17.05.2025,us,,0
dda1d397-9a01-445f-a494-893a9cf2dc06,Human Health Tracker,Google Play,1,,"Asperger's Syndrome was removed from the DSM over 10 years ago. It is a medically inaccurate diagnosis. Multiple Personality Disorder was removed from the DSM in 1994, over 30 years ago. It is also a medically innacurate diagnosis. I am certain that, if I bothered to search, I would find many more innacuracies that are considered offensive and potentially dangerous.",Violet Darling,13.05.2025,us,5.14.4,0
80041b8e-8be4-44c8-8c87-7933909ee904,Human Health Tracker,Google Play,1,,"I am 17. I have been struggling with disabilities since a very young age and it has developed into nearly daily seizures. I tried to download this app to track them for my neurologist, as they're trying to get me fully fixed up before I turn 18. unfortunately, this app is inaccessible to disabled minors. more than adults have disabilities. these apps need to be accessible for us too.",1273 down the rocket fella street,10.05.2025,us,5.14.4,0
c1d2b587-b50f-460a-962c-6358a4e076b9,Human Health Tracker,Google Play,3,,every day i go into this app and it asks you to reload to show the updated app and nothing changes. very frustrating but otherwise its okay,Kayla Tarnowski,05.05.2025,us,,0
f631ce23-fd6b-4cd4-b877-dc1499081c65,Human Health Tracker,Google Play,5,,Living everything going on! Very thorough and simple to use. Don't need a subscription for it. Widgets would be pretty cool!,Rhianna Manuel,04.05.2025,us,5.11.0,0
7ab86f2d-565c-4bba-b7aa-e8fdcb2c5b5b,Human Health Tracker,Google Play,5,,spoonies! your free health tracking app is here.,Harmony,29.04.2025,us,5.11.0,0
0b3ee354-6221-440d-8513-02c01622bec5,Human Health Tracker,Google Play,5,,I struggle to memory issues and remembering all of my symptoms . this app is just right for me,Anika Downing,22.04.2025,us,5.11.0,0
a1527d18-2572-44b2-9871-53dbb5ac39b8,Human Health Tracker,Google Play,4,,"it's great for a reminder to take your meds and mark off you got them. you can log symptoms you experience to track them to bring up to your doctor how often and how severe they were. it's difficult to navigate to done where to do this if you missed a check in, and it had it's own idea of day/night so if you take your meds after midnight, it counts them all as ""day"" so it can mess up the ""took all meds"" button if you have actual day meds add well.",Bunny Aug,02.04.2025,us,5.8.2,0
9fb922e5-a58e-4dcc-94fc-466fc095b45d,Human Health Tracker,Google Play,5,,"Such a helpful, all inclusive way to track my meds, symptoms, and health experiences.",Allison M,02.04.2025,us,5.8.2,0
5ef12f00-207b-4647-8fc1-c8f6488c2c2b,Human Health Tracker,Google Play,3,,"no longer tracks the time for completing treatments, which was my main reason for using it. was a really good app for tracking symptoms and meds before tho",Faye,31.03.2025,us,5.8.2,0
df3bfd67-24d3-4c80-99f1-a90daf4e831d,Human Health Tracker,Google Play,5,,works well to customize and track Fibromyalgia symptoms and treatments,Darlene Rathman,26.03.2025,us,5.8.2,0
0ea69677-a43f-40e7-a8d3-de1332b35c2c,Human Health Tracker,Google Play,1,,"this app would be great if it stopped refusing to send me medication reminders. it will send me a reminder once, and then never again until i delete and re-download the app, so i usually can't remember to either input the medication i took or sometimes i forget to take it altogether. medication tracking is one of the only things i use this app for and it sucks that it can't actually do that.",scarecrow,18.03.2025,us,5.5.3,0
488ddd62-650c-48c9-bd70-210f9111b8e7,Human Health Tracker,Google Play,2,,Interesting and useful app until they changed how I could access my own notes. Need to pay $6 a month to download your own notes. Uninstalling.,shane grimm,14.03.2025,us,5.5.3,0
32c1effb-bcbb-4eb4-9649-49a6c9368822,Human Health Tracker,Google Play,4,,"This appears to be a decent app for someone with 1-2 issues, but I have 5 major issues, two of which are autoimmune diseases. The amount of symptoms for all 5 far exceeds the 100 limit.",Barbara Vodenik,06.03.2025,us,5.4.3,0
3a44abda-5913-49a1-882b-b6065f899f8e,Human Health Tracker,Google Play,3,,"Works pretty well for the most part, but it is incredibly stupid that you can't change the date or time of your symptoms. So if you log them past midnight, you can't log symptoms for the next day. Pretty glaring design flaw that threatens to ruin the entire app experience for night owls like me",Isaac DiSanto,04.03.2025,us,5.4.3,0
8c9485ec-a9c3-4166-917c-2a48e9e16c31,Human Health Tracker,Google Play,1,,"I've installed/un-installed multiple times. It won't even let me set up an acct. I get to the page where you put in your info: line 1 - full name (check), line 2: ""preferred name"" (won't let me click on it. It flashes to a different screen and flashes back...having erased line 1...so start again.) Same results. OK...so, skip the preferred name and move on. Country (check). DOB (check). ""NEXT"" - NOPE. ""Preferred Name"" is REQUIRED. Click on ""Preferred Name"" one more time - deleted fields. So...???",Candice Berry-Newsom,03.03.2025,us,5.4.3,0
d688bf75-40d2-4df0-ba18-0ba925d6d6e8,Human Health Tracker,Google Play,4,,Figured it out :3,Atlus,27.02.2025,us,5.2.2,0
7205d76d-7d6b-4cf9-9304-95ce3aeea096,Human Health Tracker,Google Play,5,,Tracking my symptoms and trends is helping me see a clearer picture of my health conditions and seek appropriate help based on data and not my poor memory due to ADHD. I find the app to be incredibly useful.,Maria Fahlsing,26.02.2025,us,5.2.2,0
95e3e0f7-a0cf-4354-91fe-f350f9059823,Human Health Tracker,Google Play,3,,"I think if you have a well-known illness, this may be a good app for you. But I have something rare: eosinophilic esophagitis. Although it is listed, whoever designed it does not know anything about this illness. It did not ask near enough questions about symptoms. This is a tricky illness. And for me it has become dangerous. I was hoping this app would be helpful.",Jen,24.02.2025,us,,0
c536e4a9-8d39-47a1-b672-7846274cda48,Human Health Tracker,Google Play,5,,"i have so many overlapping chronic illness but this, FINCH, and my watch are really helping keep track and manage",Grey McLellan,18.02.2025,us,5.0.4,0
064956e7-8802-4ec5-92a9-b57403563f02,Human Health Tracker,Google Play,2,,This app was worthy of 5 stars but they made it cost money so I'm making my own personal version on my phone because I don't have the money to keep up the payments to keep my info. So sadly now it's just another greedy app preying on customers who could really use it. Thanks guys.,cooked Lemon,10.02.2025,us,,0
a3cdc47e-df2e-45b5-af45-563d6dbfedda,Human Health Tracker,Google Play,1,,They force you to log in. There is NO option to use it offline. I don't want my medical data on the internet.,S C,21.01.2025,us,4.16.2,0
63ba55ae-b534-4627-a0e9-712e544c3cf8,Human Health Tracker,Google Play,3,,"This app has so much potential! I absolutely love the concept. Things I wish it had: menstrual tracker/period prediction, pill refill reminders and count of pills left. Right now I'm using this app for symptoms, another app for medication, and then another for period tracking. If this could combine all three, then I would happily give this 5 stars! AND pay $5 for it. And I'd love a web version or working tablet version as the set up is very hard on a phone screen.",Whitney Shawver,20.01.2025,us,4.16.2,0
