ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
12902203590,Human Health: Chronic Illness,App Store,5,"Great app, even better customer support.","I’ve been using this app for several months now, with occasionally switching to different apps, for one reason or another, but I always seem to gravitate to this one. It is very simple and user-friendly, and their customer support team is always looking for suggestions on how to improve.",falcon1405,17.07.2025,us,5.23.5,0
12793025187,Human Health: Chronic Illness,App Store,5,Great support!,I have loved the app and the tracking functions.,Sghuvc,19.06.2025,us,5.18.5,0
12674234090,Human Health: Chronic Illness,App Store,1,Seems Interesting and Helpful,"Seems very interesting and helpful, unfortunately I wouldn’t know. After attempting to send the verification email several times over the last several hours, I still haven’t received it, and yes I’ve checked every inbox.",Tiffany Sisney,19.05.2025,us,5.14.4,0
12624277111,Human Health: Chronic Illness,App Store,5,I’m so happy I want to cry,"This app makes me so happy, I feel heard and seen, and it’s so nice to keep track of my chronic illnesses, it’s so hard and overwhelming & this makes me a little less stressed and that goes a long way, they also let you request other features and they listen to your feedback!!",Luckyone I am,06.05.2025,us,5.14.4,0
12596496717,Human Health: Chronic Illness,App Store,4,Really nice to have,I use it to of course track symptoms of my depression but it’s actually been really helpful to track my meals I’m really bad about skipping them and adding breakfast lunch dinner into my treatment plan has been helpful. I would really love if you could add custom symptoms though as there’s some things I’d love to log like doom scrolling or more hyper specific symptoms.,scarlet dragonfly,28.04.2025,us,5.11.0,0
12588808095,Human Health: Chronic Illness,App Store,5,Keep Going!,"As other reviews have mentioned, this app is very robust and allows you to track everything in one place. It's the first app I've seen that addresses record keeping for the whole person: conditions, treatments, medications, symptoms, physical and mental health. You can put notes on each symptom every time you log it, and unlimited journal entries every day.

I'm so excited about the future of this app! I see lots of little (and a few big) things that can make it even better! The developers seem motivated and really listen to their users. For this reason I purchased the premium service. This is the first time in all my years that I've paid for an app JUST because I want to fund the developers so they keep going!

The free version is great as it is. The paid version allows me more flexibility in reporting and other areas, which are nice-to-haves. 

Please continue to encourage and support this team as they create a world class app that we have long awaited!",PaidTheTeam,26.04.2025,us,5.11.0,0
12539767434,Human Health: Chronic Illness,App Store,2,Only a hundred symptoms allowed to be tracked.,"I’d love this app if it was more. I have so many different medical conditions, 100 is nothing in the long run. Unfortunate",hdndibxjx,13.04.2025,us,5.8.2,0
12404790657,Human Health: Chronic Illness,App Store,5,BEST APP EVER,"I absolutely LOVE this app!! It is extremely helpful for me and my doctor to keep track of what symptoms I am experiencing and the severity of them day by day. I can also write notes about anything (usually how I am doing in general) and input/track all the medications I’m taking as well as other forms or treatment. There is an option to subscribe and access premium features, but it’s not one of those apps that doesn’t let you do anything just because you aren’t a premium member which is a HUGE relief! I HIGHLY RECOMMEND this app for anyone with chronic illnesses! You will not regret downloading it, I promise!! 😃❤️",ylil:(,10.03.2025,us,5.5.3,0
12351607282,Human Health: Chronic Illness,App Store,5,Helps me predict my symptoms!,I don’t think I’ve ever left a review on an app before but I felt compelled to write on Human! This app is so helpful when you have multiple disabilities. Other apps I have used did not allow me to input as many symptoms as Human does. I also like the amount of features u can get without having the buy a premium. My medical team likes Human as well because it is helpful when I share the downloadable reports on the app with them. Highly recommend!,Rose Paresly,25.02.2025,us,5.2.2,0
12326726086,Human Health: Chronic Illness,App Store,4,love it but …,"great app to help with reminders however when the notification only says “treatment for 11AM” & it doesn’t tell me what the treatment is in the notification, it makes me not want to do it because what even is it. i just wish the notification reminders were more specific",An Unknown Girl,18.02.2025,us,5.2.2,0
12300355476,Human Health: Chronic Illness,App Store,5,Thank you all,This is so beautiful.,Reneadi,12.02.2025,us,5.0.4,0
12249464782,Human Health: Chronic Illness,App Store,4,"Pretty good, best I’ve tried so far!","It’s almost perfect, just wish you could add multiple symptoms at once when logging notes, and also a mood tracking feature would be great!",Dushana09,30.01.2025,us,4.17.1,0
12193714914,Human Health: Chronic Illness,App Store,5,Great for tracking chronic conditions!,"I have only been using this app for almost a week, but am finding it really helpful so far. It lets you input your conditions (both mental and physical) whether they are self diagnosed or clinically diagnosed. I like that it lets me track a variety of symptoms daily to show fluctuation over time. And it makes it really easy to check off treatments done daily to keep track. I personally have trouble reliably keeping track of symptoms and treatments long term, so I’m super excited to be able to have a good record of my health! There are a couple of things it would be nice to add; but the team seem really interested in feedback and improving their product from what I’ve seen so far. Overall I’m really excited about having found this app! I honestly wish I had started using it sooner. I am recommending it to anyone that has the capacity for a little screen time everyday. I’m really hoping it’s feasible for the app to remain free so that people can have access to this tool!",Roguemollusk,17.01.2025,us,4.15.0,0
12192902330,Human Health: Chronic Illness,App Store,5,Excellent Free Tool,I am thankful there is a FREE app like this to help me track and visualize my symptoms with my new medication. This app is a wonderful tool!,Jess1922,17.01.2025,us,4.15.0,0
12141922157,Human Health: Chronic Illness,App Store,4,"Good, but one thing could improve",This app is very helpful tracking my symptoms but it has a max of 100 symptoms to list and I went through the options that were in alphabetical order only to have to stop at E because I can’t select over 100.,allysillustrations,04.01.2025,us,4.9.4,0
12138023751,Human Health: Chronic Illness,App Store,4,Limited amount of symptoms you can track,"I was actually going to rate this app 5 stars which I don’t know if I’ve ever done for an app, let alone a mental health one, but I have one major problem that popped up. It only allows you to save up to 100 symptoms. This is extremely inconvenient because I have a lot of issues and therefore need to save more than 100 symptoms, is there a specific reason why it’s not able to save more? I just thought this would be useful to help me with my struggles but if I can’t track every single one of my symptoms it really defeats the point.",hoodieboi11,03.01.2025,us,4.9.4,0
12120398773,Human Health: Chronic Illness,App Store,5,I find it helpful to have proof of what’s happening,I’m not yet diagnosed but I’ve been dealing with a chronic illness and I find it helpful to keep track of my symptoms especially because I am going to consult specialist doctors next month it’s helpful to have a log,Nikolai/Niko,29.12.2024,us,4.9.4,0
12052619249,Human Health: Chronic Illness,App Store,4,Great App!!,This app is awesome! Having a widget for the home screen to tap and add a symptom would be nice. Also it would be great if there was a way I could log my POTS flare ups. Otherwise loving the app,kQuinn08,12.12.2024,us,4.9.4,0
12018292118,Human Health: Chronic Illness,App Store,1,Error,Was enjoying it for two days and then it glitched and won’t let me record my symptoms. Cya,matx2txtx2xtx,02.12.2024,us,4.9.4,0
11960982016,Human Health: Chronic Illness,App Store,4,Organizing symptoms,"I've been using human for about a week to track symptoms of multiple illnesses and so far it's been great! However, I experience many different kinds of symptoms for each illness and the way they're organized in-app is overwhelming to me. I wish there was a way to reorder the symptoms and the order in which they appear on the daily check-in in a way that makes sense to me.",Eli Stallman,17.11.2024,us,4.9.4,0
11866430803,Human Health: Chronic Illness,App Store,5,Love,Loving this app so so far it’s so easy to keep track of my symptoms and I love that I can print out a report from my doctor.,Eliza Monet.,23.10.2024,us,4.6.4,0
11835412520,Human Health: Chronic Illness,App Store,5,It’s free!? I’m shocked and couldn’t be happier,"This app works great, lets you track medications, symptoms, diagnosis’s, etc. Haven’t had any problems so far, the interface is really pretty too. It even has options to connect your provider to your account, but I’m not sure how it would work. I’m just surprised it’s completely free and there’s no hidden paywalls like other apps, bless.

11/10",wormeater3,15.10.2024,us,4.4.0,0
11820304107,Human Health: Chronic Illness,App Store,5,Love it!,"I downloaded this app and I am so excited because it is almost everything that I have been looking for, for myself and my patients!! My only suggestion is to enable a feature that allows you to add in items related to the menstrual cycle in its own box, so we can monitor if or how the menstrual cycle affects other symptoms!",Kimkim2024,11.10.2024,us,4.4.0,0
11735731226,Human Health: Chronic Illness,App Store,3,I wish you can add more than one illness.,I just downloaded the app and it seems great. I just wish there were additional options to add and track additional illnesses,Name1276,18.09.2024,us,4.3.0,0
11731345927,Human Health: Chronic Illness,App Store,5,so far i really like it!,"so far i really like it! i would love if there was an apple watch version so i can check off my treatments on my watch throughout the day, but other than that, its great!!",toriraine,16.09.2024,us,3.2.8,0
11714334465,Human Health: Chronic Illness,App Store,5,Nuanced and invaluable,"I’m a complicated medical story, and I’ve long felt like it’s a full-time job to manage my symptoms, medications, etc. I thought I had a good handle on everything. But only a week into using this app, and I’m already feeling so much more on top of things than I ever thought possible! The support team is super responsive and seeks feedback for how to make the app better—which I love. I can’t wait to see how much better this can even get. I’m blown away. Get this app.",Carlync,12.09.2024,us,3.2.8,0
11697050587,Human Health: Chronic Illness,App Store,5,Diets,I’ve only used it for a little bit but I was hoping you could add a section for diets too!,smEmmD,07.09.2024,us,3.2.8,0
