ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
12972013291,Medisafe Medication Management,App Store,5,Works great,I needed the app after hernia surgery to manage all the pills. Worked great. Easy to use.,Gr8fulrauch,03.08.2025,us,9.48.2,0
12970529257,Medisafe Medication Management,App Store,1,"Used to be excellent, now totally useless -trash. I used to love this when I first started using it.","Used to be good, now totally useless. I used to love this when I first started using it many years ago. Over time it started having lot of issues around reminders so I stopped using it. Now, I decided to give it a try again after 2-3 years and nothing works. I tried adding new medications and there was no input box to type the name of the medication. I tried adding reminder and was not able to do it. Basically the whole app has gone from excellent to piece of trash over last 7-8 years. May be they should just remove this from App Store.",Buddy914,03.08.2025,us,9.48.2,0
12969343974,Medisafe Medication Management,App Store,1,Critical alerts,"There is no ability to change the alert reminders. Every 10 minutes is ridiculous. 

Please update the critical alerts so we can choose which medication gets the alert. Having it alert for all medications isn’t ideal.",JW1JW,03.08.2025,us,9.48.2,0
12961026608,Medisafe Medication Management,App Store,3,Overall - Very Happy,"As many are, I’m dealing with some serious health issues, and weird and obnoxious side effects.  I use this app to help me take control of my meds, and it can tell you when you are low on meds and subtract out each dose (but I haven’t gotten that far yet).",krazy koni with a k,01.08.2025,us,9.48.2,0
12957595729,Medisafe Medication Management,App Store,1,Another great Android app that is terrible on iOS,Why aren't there actual notification settings? Why does it pop up a new notification every 10 minutes if I don't snooze it? The app just keeps stacking up notifications.,abigleman,31.07.2025,us,9.48.2,0
12935547537,Medisafe Medication Management,App Store,3,OK but needs site chart,"This app is fine for listing medications and reminders to take, but is lacking a way to track where medications are injected, which would helpful because two different medications require subcutaneous injections, and the injection site is supposed to vary but it’s hard sometimes to remember where the last shots were taken",SFDMcI,25.07.2025,us,9.48.0,0
12931300040,Medisafe Medication Management,App Store,4,Medication reminder/history,"I really like that I can get reminders of when to take my medications. I also like that I can see when I last took a medication. I wish there was some way to see when I took all of my medications in relation to each other (i.e. how many as needed medications did I take in a month, etc.)",Phileoxenia,24.07.2025,us,9.48.0,0
12929790223,напоминания и трекер таблеток,App Store,2,Ridiculously strict limit of only 2 medications in the free version,"MediaSafe is a convenient app and one of the best options available on the AppStore. However, the latest update introduced a ridiculously strict limit of only 2 medications in the free version. Paying for basic functionality that’s already available in the default phone app (like ""Medications"") doesn’t make sense to me. It’s really disappointing that the developers imposed such a harsh restriction. I hope they reconsider this change.",endsof,24.07.2025,ru,9.48.0,0
12918900066,Medisafe Medication Management,App Store,5,The only app you'll need,"I'm diabetic and recently had a heart scare. I need to track my blood glucose levels and now new meds and a variety of doctors appointments and tracking my Vitals. The reminders to take pills and customizable notes are quite literally a life save. I can track my doctors and appointments as well as send reports of sugar levels and other Vitals along with pill adherence. This app also tracks my med levels and sends reminders at a customizable time point to refill them. Best of all, the things I've needed it for are all free. The paid features are also worth while but the basic app will meet your needs.",Crobderg,21.07.2025,us,9.48.0,0
12910822816,Medisafe Medication Management,App Store,1,Awesome except…,"When I use this app on my android phone, I never had one single problem with it. Ever since I started using it on my iPad, every time I have to confirm that I have taken/declined a med, I have to confirm twice. So when I tap on it to say “taken” or “not taken”, it never, and I mean, never, put a little checkmark or a little X next to the medication, it just refreshes without any annotation at all, as if I did nothing. Then I have to do it again in order for it to register. Otherwise this app is incredible! I have used it for years. I don’t really want to put one star but I’m sure that’s the only way to get the attention of the developers. I will change it when someone contacts me. Thank you.",PrncsLeiah,19.07.2025,us,9.48.0,0
12910615978,Medisafe Medication Management,App Store,5,Great app,"When it’s time to take my meds, it makes this terribly annoying noise. Which is a good thing because it motivated me to get up and take my meds. Nothing else has motivated me this much to take my meds. If you forget to take your meds, I highly recommend this app. The other features I haven’t really messed with yet",Soon Mee Kim,19.07.2025,us,9.48.0,0
12909489258,Medisafe Medication Management,App Store,3,No Landscape,"The inner workings of this app are perfect, but not being able to turn the device to Landscape mode is a major negative… especially with wall devices.",Mykee220,19.07.2025,us,9.48.0,0
