ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
2d7f4c27-d7f4-4651-9d3e-ea88de8f2668,Medisafe Pill & Med Reminder,Google Play,5,,great app and best options,XaNii Le',07.08.2025,ru,,0
306215a9-8cc5-44be-bea3-5688ed1d0e42,Medisafe Pill & Med Reminder,Google Play,5,,Very good app. Able to keep track of all my meds in one place. Especially like the individual med SUSPEND & RESORE feature which allows me to archive a med when it is no longer needed and restore the med when I need to restart it.,Jud Bleser,07.08.2025,ru,9.48.2,0
fa4b3a0e-7daf-4874-a601-9fab9f60e3a2,Medisafe Pill & Med Reminder,Google Play,5,,great app,john w,07.08.2025,ru,9.48.2,0
e557bbbe-19af-4e9b-93d2-8191eabdae99,Medisafe Pill & Med Reminder,Google Play,5,,Great,Joseph Brown,07.08.2025,ru,9.48.2,0
07452c24-4d46-452c-8f7c-ad64083d896f,Medisafe Pill & Med Reminder,Google Play,1,,"USE MEDTIMER INSTEAD. Premium subscription required to track more than one medication. I used this for a long time and was happy with it until I needed help with more than one medication and found this ridiculous limitation. I understand developers want steady income but this is just greedy, especially considering this is a healthcare app. Please support and use the fully free and open source MedTimer app instead!!",Josh Davis,07.08.2025,ru,9.48.2,0
9385c7bd-292c-4b02-9421-d3165c170933,Medisafe Pill & Med Reminder,Google Play,5,,Great tool! keeps me on track 👍🏼,Armando Esteban Espinosa Diaz,06.08.2025,ru,9.48.2,0
b6865ce0-9ce9-46b1-9b7c-977ce88b8cdb,Medisafe Pill & Med Reminder,Google Play,5,,"I looked at 2 other apps before selecting this one. Very easy to set up your meds and reminders to take them, then quickly and easily mark them as taken or skipped when the reminder pops up.",Mike Sheppard,06.08.2025,ru,9.48.2,0
dd36ad5a-3c84-4c78-b421-cc3fb5ad29e5,Medisafe Pill & Med Reminder,Google Play,5,,A life-changer. I went from forgetting my meds 1 or 2 times a week to forgetting them 1 or 2 times a year.,Richard Braakman,05.08.2025,ru,9.48.2,0
e8c69d2b-7712-44d0-bd98-378e3f0c869e,Medisafe Pill & Med Reminder,Google Play,5,,very helpful. a great app to have,Lola Roseé,04.08.2025,ru,9.48.2,0
d086e4f9-d5c3-43cf-89e2-a713d91fd097,Medisafe Pill & Med Reminder,Google Play,4,,"Works well, changes time zones when you travel and reminds you of refills. It's all just what I needed.",Rick Bender,04.08.2025,ru,9.48.2,0
677a1786-b171-4ed1-8f4f-9d28f7ed1552,Medisafe Pill & Med Reminder,Google Play,5,,reminder when I need them. Also a great way to have my list of medications.,Melissa Franklin,04.08.2025,ru,9.48.2,0
ebf8ce33-b357-4e12-879f-641b1c6006c8,Medisafe Pill & Med Reminder,Google Play,5,,great way to stay on track with medicine and Dr. Very help full.,Debbie Dufour,04.08.2025,ru,9.48.2,0
d743b852-e925-4a76-8b08-de8e779e86a1,Medisafe Pill & Med Reminder,Google Play,2,,"Not great for those who are on dozens of medications, some of which are occasional but require a schedule, like antibiotics or steroids, or for PRN meds. The longer you use the app the less access to your long term data is available. Also you can't see all the instances of when a short term med on a schedule has been taken, or initial creation/start date - just last taken date. Still experiencing a bug where meds marked as taken show as snoozed so you accidentally take it twice.",Rachael Swiss,03.08.2025,ru,9.48.2,0
a4db9603-8a05-4dbe-8d8c-d2f76a45781b,Medisafe Pill & Med Reminder,Google Play,5,,help me to be more organized with my medications and helps me to remember to take them better. give me useful information on my diseases too.,The Bag Lady 103167,03.08.2025,ru,9.48.2,0
d452f7cd-290f-4b47-aaa5-2d91a6aa4650,Medisafe Pill & Med Reminder,Google Play,4,,amazing with all the features that it has,Ouss Lover,03.08.2025,ru,,0
1b84ff8d-d9d0-4e8f-aef6-257d0eb771d1,Medisafe Pill & Med Reminder,Google Play,5,,Love it.. I really appreciate this app for my medication,De'Lois West,03.08.2025,ru,9.47.1,0
499c2616-5ca1-4480-9ffe-b30179a41349,Medisafe Pill & Med Reminder,Google Play,5,,muy buena app,Benjamin Novillo Linares,03.08.2025,ru,9.48.2,0
655431b8-43d1-41b2-8329-9c69d7f39938,Medisafe Pill & Med Reminder,Google Play,5,,Great app helps keep a scheduled,Antonio Gil,02.08.2025,ru,9.48.2,0
512ffa2c-7978-4c77-b02b-5738d57fe204,Medisafe Pill & Med Reminder,Google Play,5,,Great Reminder,Adam Ant,02.08.2025,ru,9.48.2,0
9e64c096-28e1-407f-b586-1f140d37f2e0,Medisafe Pill & Med Reminder,Google Play,5,,"This app is practical and flexible for Med scheduling and tracking. The fact that I can easily postpone a reminder, or easily reschedule it, is convenient. It effectively keeps me on track with meds. This is a very practical app.",David Vita,02.08.2025,ru,9.48.2,0
87c91f70-7b82-45f9-8d38-8a462bc965a9,Medisafe Pill & Med Reminder,Google Play,1,,bad,M J,02.08.2025,ru,,0
1bc9ebc8-3a11-4c8b-844c-c6ae38c13571,Medisafe Pill & Med Reminder,Google Play,5,,Functional in a basic but efficacious user interface experience.,Mike Nestor,02.08.2025,ru,9.48.2,0
28a9a310-8d6f-430d-b007-9cefe1bf3a57,Medisafe Pill & Med Reminder,Google Play,5,,Medisafe is a life saver and I recommend it to literally everyone I know.,Daniel Gray,01.08.2025,ru,9.48.2,0
3078f637-15f3-4a5f-9044-d392aeb8831e,Medisafe Pill & Med Reminder,Google Play,1,,"you can only see 1 week at a time, free version only includes 2 meds, and if you're editing the notes on the meds, you can't see what you're typing because the keyboard covers the note box",Paola Nace,01.08.2025,ru,9.48.2,0
13909260-8b6e-4c64-8cc7-ccf61657b15b,Medisafe Pill & Med Reminder,Google Play,5,,keeps accurate records,Keith Strozewski,01.08.2025,ru,9.48.2,0
6e1122bc-d280-427e-9c16-f7ca81f986b0,Medisafe Pill & Med Reminder,Google Play,5,,تطبيق ممتاز لتذكيري لأخذ أدويتي.,Fatema Al rubayee,01.08.2025,ru,9.48.2,0
c1de3157-6884-4c6c-997b-2df426c2f6a6,Medisafe Pill & Med Reminder,Google Play,5,,super helpful and the new premium features seem like a great idea outlining conflicting meds and supplements,Jonathan Love,01.08.2025,ru,9.48.2,0
7b446673-1aeb-43c0-b195-efd6b38805a4,Medisafe Pill & Med Reminder,Google Play,5,,The app is very helpful for maintaining all my doctors contact info and appointments as well as getting med reminders. The best feature is having a med friend to help keep me accountable for taking my meds.,Tia Stroop,31.07.2025,ru,9.48.2,0
a9488459-07d0-4c69-b034-20eec3caa19c,Medisafe Pill & Med Reminder,Google Play,1,,Subscription to add more than 2 meds? DELETED.,Eugene Bortolin,31.07.2025,ru,,0
eb6b25e9-d343-499d-8823-625ed30889f8,Medisafe Pill & Med Reminder,Google Play,5,,"I would be lost without this app. It reminds me when my medication is due, so I never miss a dose.",N Kro,31.07.2025,ru,9.48.2,0
cd3cc4d2-1e73-429a-b74e-f43b59ef58a0,Medisafe Pill & Med Reminder,Google Play,5,,the app helps me take my shot every 2 weeks. thanks,Dre,30.07.2025,ru,9.48.2,0
08a578fe-1140-49db-9c9d-97fa2ae23d66,Medisafe Pill & Med Reminder,Google Play,4,,"I like the features so far, but I wish it was possible to set different reminder settings for each med; i.e., really nag me about the weekly one I always forget, but not so much for my nightly meds I usually remember on my own. Also - I like the health trackers, but cannot track my seizures. A seizure tracker or a custom tracker would be nice to see. Otherwise it seems very good, and like it'll help with long term med consistency.",Julien Mieirs,30.07.2025,ru,9.48.2,0
ac368834-b47c-4363-9666-22d903a9dbef,Medisafe Pill & Med Reminder,Google Play,1,,Only 2 meds on the free version is diabolical. As someone with many conditions i dont have the money to spare for a pill tracking up.,Hako,30.07.2025,ru,,0
18e86a15-f900-48d0-8e6d-50830ad4be1c,Medisafe Pill & Med Reminder,Google Play,5,,"this app is great! I use it to track Peptides, HRT, meds. Tons of flexibility.",Steve C,30.07.2025,ru,9.48.2,0
81bdc22d-0446-447c-9d7a-e9f442a44dde,Medisafe Pill & Med Reminder,Google Play,4,,Does a Good job at managing your meds.. Editing is a little frustrating @ first..no ads.,Greg Geuss,30.07.2025,ru,9.48.2,0
