ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
d32d589a-9fb8-46d6-850e-56d279952429,Medisafe Pill & Med Reminder,Google Play,5,,"extremely useful for ADHD, immediately became a permanent part of my routine, hot tip let it send you smartwatch notifications",EpicTurtle,08.08.2025,us,9.48.2,0
5f6c51f3-ca76-4755-a8b5-1ed5f93cb465,Medisafe Pill & Med Reminder,Google Play,5,,one of the best 👌,Reza Bunchy,08.08.2025,us,9.48.2,0
2d7f4c27-d7f4-4651-9d3e-ea88de8f2668,Medisafe Pill & Med Reminder,Google Play,5,,great app and best options,XaNii Le',07.08.2025,us,,0
306215a9-8cc5-44be-bea3-5688ed1d0e42,Medisafe Pill & Med Reminder,Google Play,5,,Very good app. Able to keep track of all my meds in one place. Especially like the individual med SUSPEND & RESORE feature which allows me to archive a med when it is no longer needed and restore the med when I need to restart it.,Jud Bleser,07.08.2025,us,9.48.2,0
fa4b3a0e-7daf-4874-a601-9fab9f60e3a2,Medisafe Pill & Med Reminder,Google Play,5,,great app,john w,07.08.2025,us,9.48.2,0
e557bbbe-19af-4e9b-93d2-8191eabdae99,Medisafe Pill & Med Reminder,Google Play,5,,Great,Joseph Brown,07.08.2025,us,9.48.2,0
07452c24-4d46-452c-8f7c-ad64083d896f,Medisafe Pill & Med Reminder,Google Play,1,,"USE MEDTIMER INSTEAD. Premium subscription required to track more than one medication. I used this for a long time and was happy with it until I needed help with more than one medication and found this ridiculous limitation. I understand developers want steady income but this is just greedy, especially considering this is a healthcare app. Please support and use the fully free and open source MedTimer app instead!!",Josh Davis,07.08.2025,us,9.48.2,0
9385c7bd-292c-4b02-9421-d3165c170933,Medisafe Pill & Med Reminder,Google Play,5,,Great tool! keeps me on track 👍🏼,Armando Esteban Espinosa Diaz,06.08.2025,us,9.48.2,0
1d01573c-984a-4c51-83f9-1983a5ca9f30,Medisafe Pill & Med Reminder,Google Play,4,,приложение хорошее и удобное. минусов почти нет,Дядя Стрейд,06.08.2025,ru,9.48.2,0
b6865ce0-9ce9-46b1-9b7c-977ce88b8cdb,Medisafe Pill & Med Reminder,Google Play,5,,"I looked at 2 other apps before selecting this one. Very easy to set up your meds and reminders to take them, then quickly and easily mark them as taken or skipped when the reminder pops up.",Mike Sheppard,06.08.2025,us,9.48.2,0
dd36ad5a-3c84-4c78-b421-cc3fb5ad29e5,Medisafe Pill & Med Reminder,Google Play,5,,A life-changer. I went from forgetting my meds 1 or 2 times a week to forgetting them 1 or 2 times a year.,Richard Braakman,05.08.2025,us,9.48.2,0
0ad33810-b45a-4d3a-8302-dafd574877ca,Medisafe Pill & Med Reminder,Google Play,5,,"в целом очень удобно, только после нескольких уведомлений приложение сдается, а я хочу, чтобы настойчиво мне их присылали",pikotarou8,04.08.2025,ru,9.48.2,0
cfb54fd9-28a2-449b-b2c8-62563924f466,Medisafe Pill & Med Reminder,Google Play,5,,"I use this app already for a couple of months and very satisfied! It helps me not to forget about my pills. Reminders work very efficiently, notifications are being sent until you confirm that you took a pill.",Julia Lebedkina,04.08.2025,ru,9.48.2,0
e8c69d2b-7712-44d0-bd98-378e3f0c869e,Medisafe Pill & Med Reminder,Google Play,5,,very helpful. a great app to have,Lola Roseé,04.08.2025,us,9.48.2,0
33260397-b5de-42c8-ad25-06ca9768f630,Medisafe Pill & Med Reminder,Google Play,3,,"die App ist gut , nur mir ist Aufgefallen dass es keine optión gibt um für wassertrinken Erinnerung das ist schlecht .Bitte Ändert das schnell möglich. Deswegen wollte ich die App am Anfang gleich löschen .",Sharon Serrano Völker,04.08.2025,de,9.48.2,0
d086e4f9-d5c3-43cf-89e2-a713d91fd097,Medisafe Pill & Med Reminder,Google Play,4,,"Works well, changes time zones when you travel and reminds you of refills. It's all just what I needed.",Rick Bender,04.08.2025,us,9.48.2,0
677a1786-b171-4ed1-8f4f-9d28f7ed1552,Medisafe Pill & Med Reminder,Google Play,5,,reminder when I need them. Also a great way to have my list of medications.,Melissa Franklin,04.08.2025,us,9.48.2,0
2fd53a71-6475-4232-81f3-9d526372f419,Medisafe Pill & Med Reminder,Google Play,2,,Cela devient indispensable lorsqu'on a plusieurs cachets ou personnes (enfants) a gérer ! 2025 la limitation payante est dur à avaler. après 10ans de loyaux services. par chance je ne prends plus autant de médicaments sinon je l'aurai désinstallée.,Marc-Antoine Pelletier,04.08.2025,fr,9.48.2,0
ebf8ce33-b357-4e12-879f-641b1c6006c8,Medisafe Pill & Med Reminder,Google Play,5,,great way to stay on track with medicine and Dr. Very help full.,Debbie Dufour,04.08.2025,us,9.48.2,0
d743b852-e925-4a76-8b08-de8e779e86a1,Medisafe Pill & Med Reminder,Google Play,2,,"Not great for those who are on dozens of medications, some of which are occasional but require a schedule, like antibiotics or steroids, or for PRN meds. The longer you use the app the less access to your long term data is available. Also you can't see all the instances of when a short term med on a schedule has been taken, or initial creation/start date - just last taken date. Still experiencing a bug where meds marked as taken show as snoozed so you accidentally take it twice.",Rachael Swiss,03.08.2025,us,9.48.2,0
a4db9603-8a05-4dbe-8d8c-d2f76a45781b,Medisafe Pill & Med Reminder,Google Play,5,,help me to be more organized with my medications and helps me to remember to take them better. give me useful information on my diseases too.,The Bag Lady 103167,03.08.2025,us,9.48.2,0
d452f7cd-290f-4b47-aaa5-2d91a6aa4650,Medisafe Pill & Med Reminder,Google Play,4,,amazing with all the features that it has,Ouss Lover,03.08.2025,us,,0
1b84ff8d-d9d0-4e8f-aef6-257d0eb771d1,Medisafe Pill & Med Reminder,Google Play,5,,Love it.. I really appreciate this app for my medication,De'Lois West,03.08.2025,us,9.47.1,0
ac006b99-dcfa-4d84-8fc1-c98b420b2fff,Medisafe Pill & Med Reminder,Google Play,5,,super pour médicaments à prendre toutes les 72 heures,zeste caron,03.08.2025,fr,9.48.2,0
ae275bc1-df73-4e85-9384-c36c611037a3,Medisafe Pill & Med Reminder,Google Play,1,,"MAJ au 3 août 2025 : C'est ignoble, maintenant si on veut enregistrer un médicament c'est une obligation de prendre la version payante Le rappel de la prise des médicaments ne se fait plus. L'aide est en anglais. Dommage car jusqu'à maintenant ça allait super bien mais depuis 1 mois c'est plus du tout ça. Remedies y et je mettrais 5 étoiles 🤷‍♀️",Sabine Cardon-Brachet,03.08.2025,fr,9.48.2,0
499c2616-5ca1-4480-9ffe-b30179a41349,Medisafe Pill & Med Reminder,Google Play,5,,muy buena app,Benjamin Novillo Linares,03.08.2025,us,9.48.2,0
9efec8ba-e6b9-4d9d-9917-c9d800d55f34,Medisafe Pill & Med Reminder,Google Play,5,,Gut 👍,Jurij Schischko,03.08.2025,de,9.48.2,0
655431b8-43d1-41b2-8329-9c69d7f39938,Medisafe Pill & Med Reminder,Google Play,5,,Great app helps keep a scheduled,Antonio Gil,02.08.2025,us,9.48.2,0
512ffa2c-7978-4c77-b02b-5738d57fe204,Medisafe Pill & Med Reminder,Google Play,5,,Great Reminder,Adam Ant,02.08.2025,us,9.48.2,0
9e64c096-28e1-407f-b586-1f140d37f2e0,Medisafe Pill & Med Reminder,Google Play,5,,"This app is practical and flexible for Med scheduling and tracking. The fact that I can easily postpone a reminder, or easily reschedule it, is convenient. It effectively keeps me on track with meds. This is a very practical app.",David Vita,02.08.2025,us,9.48.2,0
87c91f70-7b82-45f9-8d38-8a462bc965a9,Medisafe Pill & Med Reminder,Google Play,1,,bad,M J,02.08.2025,us,,0
1bc9ebc8-3a11-4c8b-844c-c6ae38c13571,Medisafe Pill & Med Reminder,Google Play,5,,Functional in a basic but efficacious user interface experience.,Mike Nestor,02.08.2025,us,9.48.2,0
28a9a310-8d6f-430d-b007-9cefe1bf3a57,Medisafe Pill & Med Reminder,Google Play,5,,Medisafe is a life saver and I recommend it to literally everyone I know.,Daniel Gray,01.08.2025,us,9.48.2,0
3078f637-15f3-4a5f-9044-d392aeb8831e,Medisafe Pill & Med Reminder,Google Play,1,,"you can only see 1 week at a time, free version only includes 2 meds, and if you're editing the notes on the meds, you can't see what you're typing because the keyboard covers the note box",Paola Nace,01.08.2025,us,9.48.2,0
13909260-8b6e-4c64-8cc7-ccf61657b15b,Medisafe Pill & Med Reminder,Google Play,5,,keeps accurate records,Keith Strozewski,01.08.2025,us,9.48.2,0
6e1122bc-d280-427e-9c16-f7ca81f986b0,Medisafe Pill & Med Reminder,Google Play,5,,تطبيق ممتاز لتذكيري لأخذ أدويتي.,Fatema Al rubayee,01.08.2025,us,9.48.2,0
c1de3157-6884-4c6c-997b-2df426c2f6a6,Medisafe Pill & Med Reminder,Google Play,5,,super helpful and the new premium features seem like a great idea outlining conflicting meds and supplements,Jonathan Love,01.08.2025,us,9.48.2,0
7b446673-1aeb-43c0-b195-efd6b38805a4,Medisafe Pill & Med Reminder,Google Play,5,,The app is very helpful for maintaining all my doctors contact info and appointments as well as getting med reminders. The best feature is having a med friend to help keep me accountable for taking my meds.,Tia Stroop,31.07.2025,us,9.48.2,0
16a15cae-721c-486f-b27b-b4480735dd00,Medisafe Pill & Med Reminder,Google Play,1,,"Kein testen möglich, nur kaufen. Ohne Test kein Kauf. Macht man beim Auto-Kauf auch so, ihr wahrscheinlich nicht. Böse Falle",Emmerlein,31.07.2025,de,9.48.2,0
a9488459-07d0-4c69-b034-20eec3caa19c,Medisafe Pill & Med Reminder,Google Play,1,,Subscription to add more than 2 meds? DELETED.,Eugene Bortolin,31.07.2025,us,,0
eb6b25e9-d343-499d-8823-625ed30889f8,Medisafe Pill & Med Reminder,Google Play,5,,"I would be lost without this app. It reminds me when my medication is due, so I never miss a dose.",N Kro,31.07.2025,us,9.48.2,0
4a739bdd-91b6-4abc-8e5d-2cf219724871,Medisafe Pill & Med Reminder,Google Play,5,,je suis très satisfait de cette application de médicaments et je remercie les développeurs pour leurs travail et je recommande cette application pour les personnes qui prennent des médicaments pour leurs santé.,Marcel Petremann,31.07.2025,fr,9.48.2,0
cd3cc4d2-1e73-429a-b74e-f43b59ef58a0,Medisafe Pill & Med Reminder,Google Play,5,,the app helps me take my shot every 2 weeks. thanks,Dre,30.07.2025,us,9.48.2,0
