ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
5bf22416-3711-464b-87eb-5deb3a2c45e9,Meds & Pill Reminder MyTherapy,Google Play,2,,I suggest that the team find a better name for the app. Good app easy to customize but with very bad synchronization abilities.,Mohamed Zoair,08.08.2025,us,3.230.0,0
428db7b0-8052-4ad2-951b-eba2d573a4f9,Meds & Pill Reminder MyTherapy,Google Play,5,,"ich finde es sehr gut, das ich an die Einnahme meiner Tabletten erinnert werde. Auch die Kontrolle auf wechsel Wirkung.",Marion Kratkai,08.08.2025,de,3.230.0,0
d05c6eb0-3b9e-409f-b7fc-d120129b60cb,Meds & Pill Reminder MyTherapy,Google Play,5,,"Die zeitliche Erinnerung funktioniert gut, die Erfassung ist einfach und die Hinweise auf Wechselwirkungen sind hilfreich für eine gezieltere Zeiteinteilung der einzelnen Medikamente.",Jürgen Kupferschmid,08.08.2025,de,3.230.0,0
0671b7cf-ec3c-4398-93ea-c9c933dd2bea,Meds & Pill Reminder MyTherapy,Google Play,5,,"very useful, even you dont have knwledge in medecine",Ronaldo Romero,08.08.2025,us,3.230.0,0
db930ced-36e6-4c5e-ace6-f1480c5c4887,Meds & Pill Reminder MyTherapy,Google Play,5,,Super einfach klasse Danke !!!,Torsten Wolf,07.08.2025,de,3.230.0,0
75b94995-62b3-4cd9-ae2a-ed8223c46215,Meds & Pill Reminder MyTherapy,Google Play,5,,very useful app,Rajmurugan R,07.08.2025,us,3.230.0,0
1ef97efa-ec60-4377-b8f0-2e2549fdff46,Meds & Pill Reminder MyTherapy,Google Play,2,,"I use it to keep track of my meds every day. It once had 5 stars, as they improved it. Unfortunately, I was part of the beta testing program and submitted feedback for it but apparently that offended one of the developers so I won't be helping anymore. I don't know if I was using a beta version when this happened, but there is at least one issue with daily data sometimes not being restored after an update and I had to re-do an entire day, so please be careful when you do update.",Tonia Hall,07.08.2025,us,3.232.1,0
876c845b-86aa-4be1-a75e-28c0d8deeab6,Meds & Pill Reminder MyTherapy,Google Play,5,,"Been using this app for years and never had an issue. I'm much better at consistently taking my meds at the same time, and it helps that I don't have to try to remember if I took it or not",Erin Maag,07.08.2025,us,3.230.0,0
f5bcac2f-0cd0-4b71-8c69-5911618fb51c,Meds & Pill Reminder MyTherapy,Google Play,1,,Latest version won't stay open. It used to a very helpful app but not anymore.,Andy H,07.08.2025,us,3.231.1,0
6fb6b625-93d1-498b-8840-122ff13d6346,Meds & Pill Reminder MyTherapy,Google Play,4,,"Ich hatte vorher eine andere App genutzt, die dann leider Bezahlapp wurde, was ich mir nicht leisten kann. Die MyTherapy App hat mich auf Wechselwirkungen hingewiesen, was hilfreich war. Beim Abhaken von eingenommenen Medis hatte ich mich mal vertippt und konnte den Eintrag nicht mehr korrigieren im Nachhinein. Das könnte man verbessern. Die Bedienung ist leicht. Was ich vermisse, sind homöopathische und anthroposophische Medis in der Suche und wie die einzunehmenden Medikamente aussehen.",Violetta Huibuh,07.08.2025,de,3.230.0,0
73ae7fa1-9300-4352-9aa4-4c3ed9e4cd7a,Meds & Pill Reminder MyTherapy,Google Play,4,,"Die App funktioniert eigentlich sehr gut und ich verwende sie schon länger, um meine nicht wenigen Medikamente im Auge zu haben. Ich gebe deshalb nur 4 Sterne, da es mir nicht möglich ist, für ein neues Dauermedikament einen genauen Starttag und Zeitpunkt zu definieren.",Rudolf Erbler,07.08.2025,de,3.230.0,0
9b78f18b-d447-45bc-b7a8-91c215bdf00d,Meds & Pill Reminder MyTherapy,Google Play,5,,very good,Andrei A,07.08.2025,us,3.230.0,0
aa559ec6-b888-41cf-84c8-22e5cb2e1838,Meds & Pill Reminder MyTherapy,Google Play,5,,"Leicht verständliche App,die macht für was Sie erschaffen wurde.",Daniel Herzig,07.08.2025,de,3.230.0,0
3c5acb57-474d-4a15-bd36-7bf6dec3fbdd,Meds & Pill Reminder MyTherapy,Google Play,5,,👌❤️❤️,amir heidari,07.08.2025,us,3.230.0,0
76ee4d71-0d87-4836-b6cf-234f93ac35dd,Meds & Pill Reminder MyTherapy,Google Play,5,,"nachdem nun möglich ist, unterschiedliche profile, z.b. für mich und mein kind und/oder haustier anzulegen, ist die app einfach mal PERFEKT. dafür gibt's alle sterne 🌟 🌟 🌟 🌟 🌟 🌟 und meinen besonderen dank",Frau Bu!,06.08.2025,de,3.230.0,0
a3ac3e71-513f-452c-aa6d-8498fc2a1cfb,Meds & Pill Reminder MyTherapy,Google Play,5,,Really good. A very well designed piece of software.,Alexander Hall,06.08.2025,us,3.230.0,0
f49ea4bd-47e1-46e4-bdc6-c8ab3a97a40a,Meds & Pill Reminder MyTherapy,Google Play,5,,"I've been using this app for a long time, and I consider it the best of its class. Not only are the devs privy of the needs of the users, but their support agents are responsive and professional, which makes for a great experience if the need comes. Overall, I've had nothing but a great experience with the product, and I will continue recommending it to friends, doctors and pharmacists, who are pleasantly surprised with it, as I've been doing for years now.",Juan Carlos Vara Perez,06.08.2025,us,3.230.0,0
3557d489-f3e1-4807-a6d0-40139f13ffd8,Meds & Pill Reminder MyTherapy,Google Play,5,,"Beste Pillenerinnerung, toll wäre noch wenn man im Menü Fortschritt die Listenansicht selber drucken könnte.",Rudolf Svoboda,06.08.2025,de,3.230.0,0
df4348fa-8684-4ffc-b94a-4264a5ecf10f,Meds & Pill Reminder MyTherapy,Google Play,5,,"Ich bin sehr zufrieden mit dieser App ,hab vorher öfters Einnahmen vergessen doch seit dem ich die App habe nicht mehr Ich kann jedem empfehlen sich My Therapy runterzuladen.",Michael Mainusch,06.08.2025,de,3.230.0,0
c0120b61-a2e2-47cd-922c-fe938b1b0267,Meds & Pill Reminder MyTherapy,Google Play,5,,very helpful app without ad's,Malik Azmat Hussain,06.08.2025,us,3.230.0,0
f80e599f-9632-468c-a6fb-35c86c177163,Meds & Pill Reminder MyTherapy,Google Play,1,,"Меняю отзыв. Приложение отвратительное. Настройка лекарств которым нужен интервалтный приём удаляются. Статистика лекарств не добавляет новые препараты, настройки чтобы видеть статистику по новому лекарств для журнала просто нет.",Анна Кривошеева,06.08.2025,ru,3.230.0,0
a09b96c6-09fb-4205-baa0-e5e0419cd640,Meds & Pill Reminder MyTherapy,Google Play,5,,good app for the remainder of our tablets,Subin Sebastian,05.08.2025,us,3.230.0,0
a115b552-5edb-4a72-a4df-8dc580b690a9,Meds & Pill Reminder MyTherapy,Google Play,5,,"super pour le suivi médical on peut y ajouter des rappels pour les traitements ainsi que des alertes pour le stock on peut aussi faire des suivi de symptômes assez personnalisé , des graphiques sont créés on a la possibilité d’ajouter nos soignants ainsi que les rdv prévus avec c’est vraiment bien",Thea Pollet,05.08.2025,fr,3.230.0,0
257885d1-f30c-4c3e-8cc2-7ab2ffeffcbe,Meds & Pill Reminder MyTherapy,Google Play,4,,Love this app and use it to track all my medications.,Tiphanie Ducharme,05.08.2025,us,3.230.0,0
6ecf185d-4b3d-4723-aef5-11518206018e,Meds & Pill Reminder MyTherapy,Google Play,4,,good app,Marilyn,05.08.2025,us,3.230.0,0
85602337-7d6c-409b-97fb-f4367d73c351,Meds & Pill Reminder MyTherapy,Google Play,5,,helpful,Naseem Akhtar,05.08.2025,us,3.230.0,0
ebfada62-0e25-4baf-bd2b-dee0e911a4ed,Meds & Pill Reminder MyTherapy,Google Play,5,,"Удобное приложение, пока наверно лучшее для приёма лекарст!",Anton D,05.08.2025,ru,,0
536aad93-8cfb-473d-8063-01d8bdb362ea,Meds & Pill Reminder MyTherapy,Google Play,5,,zucerlässige Erinnerung gut zu bedienen,Juergen Belkot,05.08.2025,de,3.230.0,0
7bfa27e3-5c4f-4d86-b316-760e655fb6b4,Meds & Pill Reminder MyTherapy,Google Play,5,,Funktioniert reibungslos! Super ! rezeptpflichtige Medikamente immer vorhanden bei Unstimmigkeiten man wird immer kontaktiert. Vielen Dank!,Anna Pecherski,04.08.2025,de,3.230.0,0
df290904-91c5-4f09-8855-122e5bcf5248,Meds & Pill Reminder MyTherapy,Google Play,2,,"после срабатывания напоминание подвешивать телефон, удаляю",Александр Свечников,04.08.2025,ru,3.230.0,0
40d31d07-0d90-4155-a77f-54613ed9bec7,Meds & Pill Reminder MyTherapy,Google Play,3,,no alarm,jop caceres,04.08.2025,us,3.230.0,0
3e5aa821-eb72-43b1-8ae7-548f3a2388c5,Meds & Pill Reminder MyTherapy,Google Play,5,,"A very useful and free medication tracker, which allows me to keep a daily reminder of when to take my current, prescription based medication. It's simple to use and is an essential app tool to equip into anyone's daily routine. I have several severe, life threatening health conditions and I can easily forget to take my medication, which could prove to have a detrimental effect on my physical and mental health, so it is crucial that I take the correct dose of medicine, at the right times.",John Parsons,04.08.2025,us,3.230.0,0
30b68f9e-fada-4b53-8769-b074e7fe09e2,Meds & Pill Reminder MyTherapy,Google Play,5,,"Ich bin sehr zufrieden mit der App; es ist alles drin, was man braucht u. man kann auch weitere Profile hinzufügen, um auch Termine, etc. von weiteren Personen im Haushalt zu verwalten (ist besonders bei Familien sinnvoll, um alles in einer App auf einen Blick beisammen zu haben). Die App ist übersichtlich; sie erinnert an die Einnahme von Medikamenten, erinnert, wenn Medikamente nachbestellt werden müssen, hält Arzttermine fest, errechnet, wie viel Medikamente man für den Urlaub einpacken soll.",Nele Becker,04.08.2025,de,3.230.0,0
e14c706e-41e7-4296-99e1-9ff904717bbe,Meds & Pill Reminder MyTherapy,Google Play,5,,"only been using a couple of days , so time will tell but all good up to now , there's 1 medication im scanning the box and its saying the correct name of tablet but wrong dosage that should be in box should be 300mg in box , 300mg is on the tablet but scanning that the box is 100mg dosage weird 🤔",Shona Barron,04.08.2025,us,3.230.0,0
4a45ae07-afcf-40c0-a029-7ea3f2f03cf0,Meds & Pill Reminder MyTherapy,Google Play,5,,Great app.,Huseyn Akifoglu,04.08.2025,us,3.230.0,0
