ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
578f8f1b-ca77-46c5-864f-5408bef1b0a9,Symptom & Mood Tracker,Google Play,1,,"I actually don't have a problem with the app itself, but rather, the lack of response with regards to a requested refund. I've reached out a few times over the last 2 weeks because I'd signed up for what I thought was the 7 day trial on the day my daughter went for surgery, but the overlay text when I'd signed up, signed me up for the annual subscription. I'm requesting a refund, as I'd only been interested in the trial. But I've still received no response on the matter.",Crystal Simpson,05.08.2025,us,7.65,0
92916bd0-fbe9-43d3-b2a4-c559db266cc4,Symptom & Mood Tracker,Google Play,2,,"I purchased the lifetime access to this app and am now regretting it. My streaks have reset on me multiple times; off and on, when I try to change the times on a check in, I'm promoted to purchase premium access (""restore purchase"" does not help); and when I check off reminders, the checks don't stay. The help articles are useless and customer service hasn't replied to my emails. I want my $100 back!",Amber Buck,03.08.2025,us,7.65,0
4976d503-4dd4-4fd9-9c58-3279c46a27f0,Symptom & Mood Tracker,Google Play,1,,complicated,M J,02.08.2025,us,,0
a80bf111-b28d-443d-9373-8172a3e8a3fe,Symptom & Mood Tracker,Google Play,5,,"I need something to help me track my blood pressure meds, my walking schedule, and my chest tightness. CareClinic allows me to review how I feel each week and gives me accurate information about my heart and blood pressure, helping me regulate my body",Hannah Pölloth,30.07.2025,us,7.65,0
9fbdd8f7-85c5-4b84-a407-bf417612c94c,Symptom & Mood Tracker,Google Play,5,,It's 2am and I just used the app to record this weird pain near my ribs. Otherwise I'll forget about it tomorrow morning. A reminder is needed and helps me sleep well.,Alexander Rajam,30.07.2025,us,7.65,0
aaafad33-6508-4b82-8665-8bbd9793d57b,Symptom & Mood Tracker,Google Play,5,,"I have multiple chronic conditions and keeping track of everything used to be a nightmare. CareClinic helps me record my symptoms, medication times and even side effects. The reports are clear and extremely helpful when discussing with my GP. This helps me feel more in control of my health.",Dustin Fox,29.07.2025,us,7.65,0
8e2334a2-8297-4da0-848b-1b879e21c56a,Symptom & Mood Tracker,Google Play,5,,"I love the simplicity of tracking my mental and physical symptoms. I have used this app for anxiety, migraines and sleep disorders. It helps me spot trends and make better treatment choices. The reminders also help me keep track of my medications. It is a lifesaver.",Robert Stephens,29.07.2025,us,7.65,0
b297b9bf-a43a-4ea2-b676-8ec3d00b0271,Symptom & Mood Tracker,Google Play,5,,"Thank you to whoever made this. I have lupus and POTS and almost lost all my data. This app keeps everything in one place. Notes on flare-ups, treatments, mental health, even water intake. I showed the chart to my rheumatologist and she loved it. Really helpful.",Emma Davies,25.07.2025,us,7.65,0
28e2f0d6-ff10-455e-bc53-a7549bc213c4,Symptom & Mood Tracker,Google Play,1,,"Ich möchte mein Kundenkonto und alle Daten löschen, was mir Ihre App unmöglich macht. Beim letzten Bestätigungsschritt angekommen bekomme ich dann die Meldung ""Please try again or tap cancel"". Bei jedem ""try again"" genau das gleiche. Ihr ""App-Help-Bot"" beantwortet JEDE einzelne Frage mit ""I apologize, but I don't have enough information in my knowledge base to assist with deleting your account and data. Please feel free to ask something else I might be able to help with."" Und nun?",Sabine,24.07.2025,de,7.65,0
7255f8a3-ab81-4091-8b49-598dc8c5ea4c,Symptom & Mood Tracker,Google Play,1,,"Website claims it has a cough tracker tool. Turns out it has a questionnaire which asks how bad I think my cough has been, not an automated tracker. So just like any other symptom tracker, many of which are free. This app offers a free 7-day trial, then requires money to keep using. It keeps asking for contact information for my friends and family. It feels like a scam.",Jari R,19.07.2025,us,,0
12735eab-9b5e-45e3-8343-f4d89572bb90,Symptom & Mood Tracker,Google Play,1,,"The app is user-hostile, constantly showing popups that try to upsell you on their subscription. It's also unusable without a paid subscription (very few features are available) which is not too bad in itself (they have to earn money somehow), but it should be possible to learn how little is available before actually creating an account.",Piotr Białecki,19.07.2025,us,,0
ecf274fc-11ca-480e-8e67-5e19851de694,Symptom & Mood Tracker,Google Play,1,,No free option after trial,Tiffany Ortiz,11.07.2025,us,7.1,0
8ae4fd5d-a225-4e4b-b643-62755c0acfa1,Symptom & Mood Tracker,Google Play,1,,"*June 2025 Update-I really love the app and the highly customizable options. I've been a paid subscriber off & on for years, due to budget constraints and less need for the features. Now paid again and none of the features are working–I get an error pop-up every time I add anything other than a med entry. I'd like a refund of my $9.99, if I can't use the app for what I need. I'd also like to get back the time I spent customizing the features for my current health needs, but my $ IS refundable.",Amber Stone,01.07.2025,us,7.1,0
51a28d77-7834-4d91-8b40-d7c30b9c2ddb,Symptom & Mood Tracker,Google Play,1,,STAY AWAY FROM THIS APP - Deleted four months of entries representing countless hours of work to put in. Very unprofessional communication from customer service.,Lorraine Odell (Studio Farrago),26.06.2025,us,7.1,0
90e303b9-1be3-43ab-9a27-85015372fa9e,Symptom & Mood Tracker,Google Play,5,,"I skip days. Sometimes weeks. This app never makes me feel bad about that. When I’m ready to check in again,it’s right there. Feels like it meets me where I’m at. That’s rare.",Alexander Springer,07.06.2025,us,7.0,0
9949639b-09d3-46f7-83e2-442326b3a2e6,Symptom & Mood Tracker,Google Play,5,,"Just want to say, whoever designed this app... thank you. I forget everything. Literally everything.But this gives me just the right nudge without being annoying. I’ve been logging pain and meds for chronic migraines. Already seeing patterns I didn’t know were there.",Kevin Nolan,07.06.2025,us,7.0,0
bf539f38-1cd8-4dff-9f62-60ea2100d7eb,Symptom & Mood Tracker,Google Play,5,,"The little character? Yeah, I smile every time. It’s simple, calm, and kind. I track energy, food, and mood, mostly for PMDD and anxiety.It keeps me grounded without pushing me to be perfect. Not something I expected from a health app.",Blaze9x,05.06.2025,us,7.0,0
d6817b88-e8f6-46fb-ae73-35c9036c8c61,Symptom & Mood Tracker,Google Play,5,,"I have lupus and tracking symptoms used to stress me out more than the symptoms themselves. This app doesn’t overwhelm me.I log pain, mood, meds, and sometimes just how my day went. It helps me notice flare patterns I was totally missing. Free version goes a long way too.",Adolp Anderson,05.06.2025,us,7.0,0
93a48880-b650-4ce1-abc7-56d46c61c93e,Symptom & Mood Tracker,Google Play,2,,"I can't seem to get the app to integrate with Google Fit. I am on the free trial, so I would think integration would be included. I use Google Fit and Health Connect. On CareClinic on the Integrations screen Google Fit is switched on as is every option of which data to share. I've been using this for about 5 days and yet the ""Last Synced"" continues to say ""Not Synced Yet"". Support is not great, I sent an email to support days ago, no response.",Dave Green,10.05.2025,us,7.0,0
27292a8f-aa92-449f-9822-15f865142a2a,Symptom & Mood Tracker,Google Play,1,,annoying to set up and was prompted to pay twice before reaching the main screen,Bella 95,06.05.2025,us,,0
034c02e7-27cb-465d-8999-8a48e267d8e0,Symptom & Mood Tracker,Google Play,1,,"I can't even deactivate.... like I downloaded to check it out(shouldn't have) opened it, logged in with google, went to set it up and saw there was a trial, was then uninterested but has to finish cause... ui.... and the Google form it takes me to when trying to deactivate my account doesnt recognize that I chose any open for the reason im deactivating, didn't want to make this public but can't even find a support email",Tristan Oller,06.05.2025,us,7.0,0
