ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
12876270256,"Tracker, Reminder - CareClinic",App Store,2,Nutrition,"There should be an easier way to track meals. My products are not available, I have to enter each item one by one. Ex: Greek yogurt w flaxseed, almonds and blueberries, what a haste!",AngSant,10.07.2025,us,7.5,0
12702617178,"Tracker, Reminder - CareClinic",App Store,4,Support,"Update: tried the email and still no response. My subscription ends in the next week and I need to get access to my data, please check your email. 

Tried emailing but always comes back as undelivered. Any emails that currently work?",Pixulkid,27.05.2025,us,7.0,0
12681157033,"Tracker, Reminder - CareClinic",App Store,1,Doesn’t work and no one will respond,"Been waiting a month for a conversation but no one returned my email. Still doesn’t work. 

I couldn’t get the app to work and was pushing around on my screen to try to get it to work and ended up accidentally pushing the $80 annual subscription. I tried twice with Apple to get a refund and got nowhere. Wish I could talk to someone to get my money back.",Lolo sull,21.05.2025,us,7.0,0
12653059412,"Tracker, Reminder - CareClinic",App Store,5,EPIC! Some minor changes,"SOSOSO Awesome! Saves me at my job as a PCA. However, I wish the Chronological order of the Timeline was based off the EVENT time and not the ENTRY time. But such a minor issue. GREAT app.",Paperboi0319,14.05.2025,us,7.0,0
12622574044,"Tracker, Reminder - CareClinic",App Store,3,Not happy so far,"Sleep won’t read from Apple health, not sure how long or when each day it’s supposed to sync but last sync was at 5pm yesterday. Turned off all syncs and then back on and it grabbed everything but it doesn’t seem to do it on its own and even then it still won’t auto sync sleep. Might need to try a different app if this doesn’t get fixed",Axwriter,05.05.2025,us,7.0,0
12607955474,"Tracker, Reminder - CareClinic",App Store,4,Works for what we need,We use this for tracking ADHD medication and symptoms. Works well for what we need.,legandalf,01.05.2025,us,6.9,0
12564584068,"Tracker, Reminder - CareClinic",App Store,5,قرص انگل,قرص انگل پاپت اول اردیبهشت بعد ۲۱روز بعد,Papetyparisa,20.04.2025,us,6.9,0
12545465042,"Tracker, Reminder - CareClinic",App Store,1,It’s a scam. Don’t understand why anyone likes this.,"Legit they will not give me my money back. Tried it for a day & hated how cumbersome it was to enter symptoms for complex syndromes. Maybe it’s great if you only have one symptom, but after logging for 20 mins on day one & only getting through a few of my symptoms, I gave up. They’ve completely ghosted me when I asked for a full refund of the lifelong option within 24 hours of purchase; they keep denying it through Apple too. 

Please just make your own spreadsheet & save yourself the money, frustration & time.",RR607,15.04.2025,us,6.9,0
12485298793,"Tracker, Reminder - CareClinic",App Store,5,5 star review 🤩,"This app is fantastic for tracking mood, medication, and symptoms all in one place. The layout is clean and easy to use, making it simple to log daily entries and spot patterns over time. The medication reminders are a great bonus, ensuring I stay on track. If you’re looking for a reliable mood tracker with helpful insights, this is the app to get!",JHCH2002,31.03.2025,us,6.9,0
12472427837,"Tracker, Reminder - CareClinic",App Store,5,Amazing!!!!,"This app is amazing it covers EVERYTHING and lets my doctors understand how my symptoms progress. In the past I haven’t been able to track as much as this app does, and even with what I could track I had to do it separately on 5 different apps. This is all in one place which is way more convenient and it shows trends in my symptoms and habits which has helped me identify and avoid triggers!",SarahHCHA7,28.03.2025,us,6.9,0
