ID,Название приложения,Магазин,Рейтинг,Заголовок,Содержание,Автор,Дата,Регион,Версия,Полезность
12966424413,Напоминания о приёме лекарств,App Store,2,В целом не плохое,"Удобное приложение. Нравится что напоминания отправляются как важные, то есть будут отображаться, пока не закроешь. Но почему-то постоянно присылает напоминания об уже принятых лекарствах. Это жутко не удобно.",the_unicorn_keeper,02.08.2025,ru,3.230.0,0
12894605290,Напоминания о приёме лекарств,App Store,5,Лучшее приложение для приема таблеток,МИНУС: нет возможности добавить собственные симптомы,Audashious,15.07.2025,ru,3.228.1,0
12884965804,Meds & Pill Reminder MyTherapy,App Store,5,Helpful!!,Very helpful woth remembering to take my medication‘s that have to be staggered,Meowmama22,13.07.2025,us,3.225.3,0
12884155979,Meds & Pill Reminder MyTherapy,App Store,5,Lifesaving app,This an easy to use app that makes keeping track of medicine a stress free routine,Patrycakes,12.07.2025,us,3.225.3,0
12883766281,Meds & Pill Reminder MyTherapy,App Store,5,Medication tracker,Great product for keeping a medication chart. So helpful! It’s a great way to develop healthy daily habits too.,epa1309,12.07.2025,us,3.225.3,0
12883514841,Meds & Pill Reminder MyTherapy,App Store,5,PERFECT!,The best solution I’ve found. Easy to use and setup.,Toddscarservice,12.07.2025,us,3.225.3,0
12883507235,Meds & Pill Reminder MyTherapy,App Store,5,Depend on it!,I really just use this as a reminder to take my meds. I was having trouble remembering whether I took them or not! I also tap the screen after confirming to see their picture of the day.,Mosquito1945,12.07.2025,us,3.225.3,0
12883006542,Meds & Pill Reminder MyTherapy,App Store,5,Liking this app,"I love this app cause it help me keep up with taking my medication on time, and what medication I need to take.",Love-pea,12.07.2025,us,3.225.3,0
12876949800,Meds & Pill Reminder MyTherapy,App Store,5,Medication,"This has been a great app medical app for me. I am so excited that as I was strolling through the App Store, I found this medical app. I’ve been with them over a year now, and have not had a problem at all. Thanks MyTherapy.",8160Ginnie,11.07.2025,us,3.225.3,0
12868421215,Meds & Pill Reminder MyTherapy,App Store,5,Perfect for me,I like the how the app reminds me.,Brada808,08.07.2025,us,3.225.3,0
12863117172,Meds & Pill Reminder MyTherapy,App Store,5,Blows past silence mode… perfect !!,"I need an app that will track and let me know when I need my drugs. If I miss something, it is critical, saved me from missing seizure medication!!!",Sirius user,07.07.2025,us,3.225.3,0
12861719472,Meds & Pill Reminder MyTherapy,App Store,5,Great Rx App,"This application is an excellent free pill reminder! It allows you to adjust dosage, have multiple reminders in one day, and you can export your list to provide it to your doctors.",Peachimom in TN,07.07.2025,us,3.225.3,0
12861445616,Meds & Pill Reminder MyTherapy,App Store,5,Reminder,Did an excellent job. Never forget to take pills again,Hungmtl,07.07.2025,us,3.225.3,0
12861019280,Meds & Pill Reminder MyTherapy,App Store,5,Great app,Easy for my 84 year old mom to follow,Momma’sGirl,07.07.2025,us,3.225.3,0
12859030047,Meds & Pill Reminder MyTherapy,App Store,5,Keeps track,"This is the best app for tracking how much medication you have, when to refill, and when you've taken ""as needed"" medicine.",Babaghanouj2,06.07.2025,us,3.225.3,0
12857688165,Meds & Pill Reminder MyTherapy,App Store,5,amazing free pill reminder,great app to help you take track of the pills you take daily or occasionally! can even add in medicine given in the hospital with injection site location. add in lab results. i could go on and on!! been using for almost 2 years now and i dont plan to stop.  and completely free so BONUS,Casssssssssŷ,06.07.2025,us,3.225.3,0
